record_number,application_number,application_type,uprn,category,location,proposal,received_date,received_complete_date,expiry_date,committee_date,gridref_east,gridref_north,site_area,site_area_hec,delegated_committee,Expr1016,Expr1017,old,notice_date,status_code,dbo_pla_planning_appeal_number,pla_stats_majmin,consults_expiry_date,pla_enviro_stat_req,pla_corr_total_object,pla_corr_total_no_object,pla_corr_total_comment,dbo_lookup_decision_codes_decision_description,dec_maker_desc,dbo_lookup_stats_site_details_description,dbo_lookup_stats_type_description,ward_description,dbo_apl_appeal_appeal_number,dbo_lookup_apl_decisions_decision_description,name
14000,K6419/16,FUL,,CC,Brune Park Community School Military Road Gosport,Construction of boiler flues to Science Block and Main Block,03/04/2009,09/04/2009,04/06/2009,21/05/2009,459469,101486,5,0.0005,D,Delegated by officer,Granted,,22/05/2009,RCD,,min,20/05/2009,,,,,Granted,Delegated by officer,,,Leesland and Town,,,Property Business and Regulatory Services
14001,09/00686/HCC3S,FUL,,CC,Mountbatten Secondary School Whitenap Lane Romsey,Installation of roof mounted solar panels,03/04/2009,03/04/2009,29/05/2009,08/06/2009,437254,120660,1578,0.1578,D,Delegated by officer,Granted,,08/06/2009,RCD,,min,06/05/2009,,,,,Granted,Delegated by officer,,,Romsey Extra,,,Property Business and Regulatory Services
14002,09/00707/HCC3S,FUL,,CC,Adjacent West Tytherley Primary School The Village West Tytherley,Proposed remedial works to foul drainage system,06/04/2009,06/04/2009,01/06/2009,03/07/2009,427538,129886,2981,0.2981,D,Delegated by officer,Granted,,03/07/2009,RCD,,min,10/07/2009,,,,,Granted,Delegated by officer,,,Test Valley Central,,,Property Business and Regulatory Services
14003,09/00704/HCC3S,FUL,,CC,The Romsey School Greatbridge Romsey,It is proposed that the existing Site Managers House which has not been lived in for approx 2.5 years is refurbished to provide additional facilities for the school and community,07/04/2009,07/04/2009,02/06/2009,02/06/2009,435174,121745,53,0.0053,D,Delegated by officer,Granted,,02/06/2009,RCD,,min,07/05/2009,,,,,Granted,Delegated by officer,,,Romsey Town,,,Property Business and Regulatory Services
14011,09/00189/HCC,FUL,,CMW,Unit 1 Stubbs Lane Hollybush Lane Aldershot,Location and operation of a crusher,09/04/2009,16/04/2009,11/06/2009,01/07/2009,488395,152331,1760,0.176,D,Applicant,Withdrawn,,18/06/2009,RCD,,MAJ,25/05/2009,,,,,Withdrawn,Applicant,,,Aldershot West,,,SLR Consulting Ltd
14012,09/00734/HCS,FUL,,CC,Tynefield Cottages Whiteley Lane Fareham,"Erection of two agricultural buildings to house livestock and fodder  
(1. Second-hand structure 6.7m x 12.2m approx 2. new steel-framed building 9.14m x 24.38m approx.)",17/04/2009,20/04/2009,15/06/2009,16/06/2009,453742,107877,223,0.0223,D,Delegated by officer,Granted,,16/06/2009,RCD,,min,20/05/2009,,,,,Granted,Delegated by officer,,,Winchester Southern Parishes,,,Estates Practice
14013,P/09/0374/CC,FUL,,CC,Brookfield School Brook Lane Sarisbury Green,Creation of a new Adult Learning Centre,17/04/2009,17/04/2009,12/06/2009,12/06/2009,450381,107631,181,0.0181,D,Delegated by officer,Granted,,12/06/2009,RCD,,min,06/05/2010,,,,,Granted,Delegated by officer,,,Fareham Sarisbury,,,Property Business and Regulatory Services
14014,BDB/70613,FUL,,CC,The Hurst Community School Brimpton Road Baughurst Tadley,Creation of a new Adult Learning Centre including an Ofsted registered sessional creche for the Adult Learning Centre this will include a fenced external play area,17/04/2009,17/04/2009,12/06/2009,05/06/2009,457641,162268,449,0.0449,D,Delegated by officer,Granted,,08/06/2009,RCD,,min,02/07/2010,,,,,Granted,Delegated by officer,,,Tadley and Baughurst,,,Property Business and Regulatory Services
14018,BDB/70626,REL,,CMM,Mortimer Quarry Welshmans Road Mortimer West End,Variation of condition 8 of PP BDB/58692 to allow excavated material to be conveyed over Ramptons Lane by dumper truck,22/04/2009,22/04/2009,17/06/2009,29/07/2009,463058,164653,469914,46.9914,D,Committee,Granted,,05/08/2009,RCD,,min,25/05/2009,,,,,Granted,Committee,Variation of condition(s),Sand and Gravel,Calleva and Kingsclere,,,Hanson Aggregates
14019,09/94039,FUL,,CC,Sopley Primary School South Ripley BH23 8ET,Installation of a 6kW Proven wind turbine on a 15m mast,22/04/2009,23/04/2009,18/06/2009,13/01/2010,416303,98493,7,0.0007,C,Committee,Granted,,15/01/2010,RCD,,min,29/03/2010,,,,,Granted,Committee,,,Ringwood,,,Property Business and Regulatory Services
14020,22407/009,FUL,,CMW,Heberdens Farm Finchdean,Change of use of an agricultural building and adjoining land for the storage and processing of builders waste,23/04/2009,23/04/2009,18/06/2009,29/07/2009,473936,113715,6726,0.6726,C,Committee,Granted,,04/08/2009,RCD,,MAJ,30/06/2009,,,,,Granted,Committee,Other,Recycling Plans for Secondary Aggregates,Petersfield Butser,,,The Bell Cornwell Partnership
14022,BDB/70650,FUL,,CC,Costello Technology College Crossborough Hill Basingstoke RG21 4AL,Proposed provision of one double classroom teaching space,27/04/2009,24/04/2009,19/06/2009,08/06/2009,464361,151731,163,0.0163,D,Delegated by officer,Granted,,08/06/2009,RCD,,min,28/05/2009,,,,,Granted,Delegated by officer,,,Basingstoke Central,,,Property Business and Regulatory Services
14024,21596/014,FUL,,CC,Horndean Technology College Barton Cross Waterlooville PO8 9PQ,To construct a replacement mini Synthetic Turf Pitch with new fencing floodlighting drainage and access paths,28/04/2009,24/04/2009,19/06/2009,01/07/2009,469850,113307,5081,0.5081,C,Committee,Granted,,03/07/2009,RCD,,MAJ,10/07/2009,,,,,Granted,Committee,,,Catherington,,,Property Business & Regulatory Services
14025,P/09/0386/CC,FUL,,CC,St Francis School Oldbury Way Fareham PO14 3BN,Provision for one temporary classroom teaching space for a temporary period,28/04/2009,28/04/2009,23/06/2009,03/06/2009,455376,105988,122,0.0122,D,Delegated by officer,Granted,,08/06/2009,RCD,,min,28/05/2009,,,,,Granted,Delegated by officer,,,Fareham Titchfield,,,Property Business and Regulatory Services
14028,BDB/70669,FUL,,CMW,Skyers Wood Chalk Pit Lloyds Lane Ramsdell Tadley,Infilling of former chalk pit with inert waste temporary siting of portacabin and service area,01/05/2009,05/05/2009,30/06/2009,06/08/2009,457979,156436,21073,2.1073,D,Delegated by officer,Granted,,07/08/2009,RCD,,MAJ,07/02/2012,,,,,Granted,Delegated by officer,New mineral-working exploration or appraisal/waste disposal,Landfill,Calleva and Kingsclere,,,Chris Benham
14029,P/09/0396/MW,FUL,,CMW,Down Barn Farm Boar Hunt Road Fareham,Use for hardcore/concrete recycling solely for  client - Graham Moyse Contractors,01/05/2009,01/05/2009,26/06/2009,16/09/2009,459205,107423,2219,0.2219,D,Delegated by officer,Granted,,21/09/2009,RCD,,MAJ,10/10/2011,,,,,Granted,Delegated by officer,Other,Recycling Plans for Secondary Aggregates,Fareham Town,,,Mr Richard Stubbs
14030,S/09/65114,FUL,,CC,Chandlers Ford Infant School Kings Road Chandlers Ford Eastleigh,Relocation of the school car park (10 bays) for the existing unmade area adjacent the reception classrooms to an existing tarmac surface adjacent the entrance and admin areas work will involve extending the tarmac area by 70m2 to provide 9 designated car parking spaces including an accessible bay,06/05/2009,12/05/2009,07/07/2009,06/07/2009,443606,120933,254,0.0254,D,Delegated by officer,Granted,,06/07/2009,RCD,,min,10/06/2009,,,,,Granted,Delegated by officer,,,Chandlers Ford,,,Property Business and Regulatory Services
14031,09/00896/CMAS,FUL,,CMW,7 Stevens Drove Houghton Stockbridge,Demolition of existing pump house and installation of new submersible pumping station and control cabinet,06/05/2009,08/05/2009,03/07/2009,07/07/2009,434115,132139,41,0.0041,D,Delegated by officer,Granted,,08/07/2009,RCD,,min,10/07/2009,,,,,Granted,Delegated by officer,Other,Treatment,Test Valley Central,,,Patterson Reeves and Partners
14032,K13994/9,REN,,CMW,20 Quay Lane Industrial Estate Quay Lane Hardway Gosport,Maintaining the temporary use of portacabin for use as offices associated with Waste Transfer Station,07/05/2009,07/05/2009,02/07/2009,27/07/2009,460658,102146,44,0.0044,D,Delegated by officer,Granted,,30/07/2009,RCD,,MAJ,05/06/2009,,,,,Granted,Delegated by officer,Other,Other Waste,Hardway,,,Ayles & Associates
14033,09/00897/CMAS,FUL,,CMW,The Flats Stevens Drove Houghton,Demolition of existing pump house and installation of new submersible pumping station and control cabinet,07/05/2009,08/05/2009,03/07/2009,07/07/2009,434107,132070,557,0.0557,D,Delegated by officer,Granted,,08/07/2009,RCD,,min,10/07/2009,,,,,Granted,Delegated by officer,Other,Treatment,Test Valley Central,,,Patterson Reeves and Partners
14035,09/01106/CMA,FUL,,CC,Hawley Cp School Hawley Road Blackwater CAMBERLEY GU17 9BH,Create a new pedestrian entrance leading into the school main reception also replace existing vertical bar railings,12/05/2009,12/05/2009,07/07/2009,03/08/2009,485409,159257,50,0.005,D,Delegated by officer,Granted,,05/08/2009,,,MIN,11/06/2009,,,,,Granted,Delegated by officer,,,Yateley East Blackwater and Ancells,,,Property Business & Regulatory Services
14036,S/09/65190,FUL,,CC,The Wildern School Wildern Lane Hedge End SOUTHAMPTON SO30 4EJ,Removal of concrete asbestos cladding with Kingspan composite sheeting,13/05/2009,13/05/2009,08/07/2009,03/07/2009,449115,113440,866,0.0866,D,Delegated by officer,Granted,,03/07/2009,,,MIN,16/06/2009,,,,,Granted,Delegated by officer,,,Botley and Hedge End,,,Property Business & Regulatory Services
14038,09/00974/HCS,FUL,,CC,Weeke Primary School Stoney Lane Winchester SO22 6DR,Delivery and erection of one double temporary modular building to site for a temporary period to provide extra teaching space in addition 2 no parking spaces required due to the increase in school number enabled by the addition of 2 new temporary classrooms,15/05/2009,15/05/2009,10/07/2009,22/07/2009,446749,130768,226,0.0226,D,Delegated by officer,Granted,,23/07/2009,,,MIN,18/06/2009,,,,,Granted,Delegated by officer,,,Winchester Westgate,,,Property Business and Regulatory Services
14039,09/53532/006,FUL,,CMW,Harts Farm Way Depot Harts Farm Way HAVANT Hampshire PO9 1JN,Variation of condition 2(i) of Planning Permission 02/53532/002 to replace existing site office with a new one in a different position within the site,15/05/2009,18/05/2009,13/07/2009,,470675,105805,48,0.0048,D,Applicant,Withdrawn,,09/06/2009,,,MAJ,16/06/2009,,,,,Withdrawn,Applicant,,,Emsworth and St Faiths,,,T J Waste & Recycling Ltd
14040,09/00969/CMAS,FUL,,CMW,Land at Church Lane Nursling,Construction of noise attenuation bund for M27,18/05/2009,18/05/2009,13/07/2009,01/07/2009,436165,116389,34031,3.4031,C,Committee,Refused,,03/07/2009,RCD,,MAJ,18/06/2009,,,,,Refused,Committee,Other,Landfill,Romsey Extra,,,Stephen Bowley Planning Consultancy
14042,09/01046/HCS,FUL,,CMW,Marwell Yard Thompson Lane Owslebury Winchester SO21 1JH,Change of use from agricultural storage to use of land for storage  and transfer of waste material associated with gas utility works and ancillary storage of plant equipment and materials associated with a general construction and civil engineering business,19/05/2009,27/05/2009,22/07/2009,02/09/2009,450650,121374,7704,0.7704,C,Applicant,Withdrawn,,01/09/2009,RCD,,MAJ,02/07/2009,,,,,Withdrawn,Applicant,,,Bishops Waltham,,,Blake Lapthorn
14043,09/01212/CMA,FUL,,CC,Hawley Cp School Hawley Road Blackwater CAMBERLEY GU17 9BH,Replacement fencing,26/05/2009,26/05/2009,21/07/2009,03/08/2009,485510,159237,90,0.009,D,Delegated by officer,Granted,,05/08/2009,,,,25/06/2009,,,,,Granted,Delegated by officer,,,Yateley East Blackwater and Ancells,,,Property Business and Regulatory Services
14046,BDB/70797,FUL,,CMW,Priory Farm Andwell Basingstoke,Formation of noise attenuation bund using inert waste,26/05/2009,26/05/2009,21/07/2009,29/07/2009,469183,152459,22666,2.2666,D,Committee,Refused,,05/08/2009,RCD,A/10/2122014,min,01/07/2009,,,,,Refused,Committee,Other,Landfill,Loddon,A/10/2122014,Dismissed,DGG Planning (Wokingham) Ltd
14050,BDB/70825,FUL,,CC,Lychpit Local Centre Great Binfields Road Lychpit Basingstoke RG24 8TF,(1) To develop a raised footpath along the eastern edge of the car park  (2) To install new lighting using 3x lighting columns which are 8 metres in height,29/05/2009,27/05/2009,22/07/2009,11/08/2009,465799,153485,300,0.03,D,Delegated by officer,Granted,,13/08/2009,,,MIN,02/07/2009,,,,,Granted,Delegated by officer,,,Loddon,,,Estates Practice
14051,P/09/0461/CC,FUL,,CC,Crofton School Marks Road FAREHAM Hampshire PO14 2AT,Existing redundant single storey workshop and green house to be demolished to make way for new single storey Resource Provision Centre serving 12 No. pupils with Autistic Spectrum Disorders (ASD) and associated staff.,01/06/2009,01/06/2009,27/07/2009,22/10/2009,456097,102835,1791,0.1791,D,Delegated by officer,Granted,,27/10/2009,,,MIN,17/02/2010,,,,,Granted,Delegated by officer,,,Fareham Crofton,,,Property Business & Regulatory Services
14052,09/01058/HCS,FUL,,CMW,Yeoman Asphalt Botley Goods Yard Station Hill Botley,Erect three silos,01/06/2009,01/06/2009,27/07/2009,04/08/2009,452024,113351,327,0.0327,D,Delegated by officer,Granted,,06/08/2009,RCD,,min,02/07/2009,,,,,Granted,Delegated by officer,Other,Materials Recovery/Recycling (other than,Bishops Waltham,,,Aggregate Industries UK Ltd
14054,09/01095/HCC3N,FUL,,CC,Portway Junior School Ashfield Road Andover  SP10 3PE,To construct a replacement car park with new highway entrance new access footpath/cycle route new 'micro' STP and other infrastructure improvements,03/06/2009,02/06/2009,28/07/2009,02/09/2009,434457,145887,6507,0.6507,C,Committee,Granted,,04/09/2009,,,MIN,02/07/2009,,,,,Granted,Committee,,,Andover West,,,Property Businiess & Regulatory Services
14055,09/01108/CMAS,FUL,,CC,Nursling Cp School Nursling Street Nursling SOUTHAMPTON SO16 0XH,Creation of play area and timber fenced enclosure to contain 4 Refuse bins.,03/06/2009,04/06/2009,30/07/2009,10/07/2009,437444,116222,155,0.0155,D,Delegated by officer,Granted,,14/07/2009,,,,03/07/2009,,,,,Granted,Delegated by officer,,,Romsey Extra,,,Property Business and Regulatory Services
14056,S/09/65293,FUL,,CC,The Wildern School Wildern Lane Hedge End  SO30 4EJ,Extend the existing D@rt performing art building by adding a 308 seat theatre with supporting accommodation,04/06/2009,03/06/2009,29/07/2009,02/09/2009,449138,113471,1150,0.115,C,Committee,Granted,,03/09/2009,,,MAJ,25/11/2010,,,,,Granted,Committee,,,Botley and Hedge End,,,Property Business & Regulatory Services
14059,09/01126/CMAS,FUL,,CMW,Houghton Down Farm Houghton Down Stockbridge SO20 6JR,Retention of existing bund measuring 93m x 21m x 5m with associated planting aftercare scheme,05/06/2009,05/06/2009,31/07/2009,09/09/2009,433741,135389,2009,0.2009,D,Delegated by officer,Granted,,10/09/2009,RCD,,MAJ,09/07/2009,,,,,Granted,Delegated by officer,Other,Landfill,Test Valley Central,,,SLR Consulting Ltd
14063,BDB/70839,FUL,,CC,Grangeside (formally The Hawthorns School) Pack Lane Basingstoke  RG22 5TH,Proposed 27m2 extension to the existing school kitchen to provide more work and preparation space,10/06/2009,15/06/2009,10/08/2009,08/09/2009,461497,150357,23,0.0023,D,Delegated by officer,Granted,,09/09/2009,,,MIN,14/07/2009,,,,,Granted,Delegated by officer,,,Basingstoke South West,,,Property Business & Regulatory Services
14064,09/94226,FUL,,CC,Bransgore Primary School Ringwood Road Bransgore CHRISTCHURCH BH23 8JH,Erection of a 15142 mm x 9742mm temporary unit with large teaching classroom 2 no. offices kitchenette and 2 no. toilets including an accessible toilet,11/06/2009,12/06/2009,07/08/2009,03/08/2009,419165,97562,174,0.0174,D,Delegated by officer,Granted,,05/08/2009,,,,13/07/2009,,,,,Granted,Delegated by officer,,,Lyndhurst,,,Property Business and Regulatory Services
14065,BDB/70883,FUL,,CC,Oakridge County Infant School Oakridge Road BASINGSTOKE Hampshire RG21 5RR,Proposed 2.4m - 2m high fence with gates,12/06/2009,15/06/2009,10/08/2009,26/08/2009,463136,153303,234,0.0234,D,Delegated by officer,Granted,,26/08/2009,,,MIN,14/07/2009,,,,,Granted,Delegated by officer,,,Basingstoke North,,,Property Business and Regulatory Services
14067,09/01453/HCCRG3,VAR,,CC,Robert Mays School  West Street Odiham HOOK RG29 1NA,Variation of condition 7 of Planning Permission 07/02747/HCCREG3  (floodlighting times and revised STP location),16/06/2009,17/06/2009,12/08/2009,22/09/2009,473122,151111,11451,1.1451,D,Delegated by officer,Granted,,22/09/2009,,,MIN,21/07/2009,,,,,Granted,Delegated by officer,,,Odiham,,,Property Business & Regulatory Services
14068,BDB/70901,FUL,,CMW,Dummer Down Farm Dummer BASINGSTOKE RG25 2AR,Construction of new cricket ground involving importation of inert waste material to create new landform along with temporary access and contractors' compound,16/06/2009,16/06/2009,11/08/2009,18/03/2010,457431,145102,110973,11.0973,C,Committee,Granted,,07/07/2010,,,MAJ,06/09/2011,,,,,Granted,Committee,Other,Landfill,Candovers,,,Cluttons LLP
14069,S/09/65374,FUL,,CC,Hamble Community Sports College Satchell Lane Hamble-le-Rice  SO31 4NE,Construction of a new community sports pavilion,16/06/2009,16/06/2009,11/08/2009,12/08/2009,447489,108476,3562,0.3562,D,Delegated by officer,Granted,,13/08/2009,,,,17/07/2009,,,,,Granted,Delegated by officer,,,Hamble,,,Property Business & Regulatory Services
14070,09/010205/CMAS,VAR,,CMM,Hunts Farm Quarry Rudd Lane Timsbury,Variation of condition 1 of PP 05/01028/CMAS  (extension of time to complete the infilling and restoration),17/06/2009,17/06/2009,12/08/2009,21/10/2009,435328,125574,77889,7.7889,D,Delegated by officer,Granted,,29/10/2009,RCD,,MAJ,22/12/2009,,,,,Granted,Delegated by officer,Extension to life of existing site,Sand and Gravel,Test Valley Central,,,Stephen Bowley Planning Consultancy
14071,BDB/70904,FUL,,CC,Preston Candover Primary School Preston Candover near Basingstoke RG25 2EE,Construction of a new single storey flat roof extension to the rear of the school buildings,18/06/2009,17/06/2009,12/08/2009,26/08/2009,460774,141855,70,0.007,D,Delegated by officer,Granted,,26/08/2009,,,MIN,17/07/2009,,,,,Granted,Delegated by officer,,,Candovers,,,Property Business & Regulatory Services
14072,09/00356/HCC,FUL,,CC,Marlborough County Infant School Redvers Buller Road ALDERSHOT Hampshire GU11 2HR,Construct new brick and timber frame parents shelter,18/06/2009,17/06/2009,12/08/2009,10/08/2009,487510,153296,17,0.0017,D,Delegated by officer,Granted,,11/08/2009,,,,22/07/2009,,,,,Granted,Delegated by officer,,,Aldershot West,,,Property Business & Regulatory Services
14073,09/01233/HCS,VAR,,CMW,Transfer Plant Poles Lane Otterbourne WINCHESTER SO21 2EA,Variation of condition to allow two food waste compactor units to be sited outside the Waste Transfer Building,19/06/2009,18/06/2009,13/08/2009,03/09/2009,445503,123690,17315,1.7315,D,Delegated by officer,Granted,,08/09/2009,,,MAJ,21/07/2009,,,,,Granted,Delegated by officer,Variation of condition(s),Transfer Station,Winchester Downlands,,,Veolia Environmental Services
14077,09/94313,FUL,,CMW,Tesco Stores Ltd Caird Avenue NEW MILTON Hampshire BH25 6BP,Replacement of existing recycling facilities with new tomra automated recycling centre,23/06/2009,06/07/2009,31/08/2009,22/09/2009,425206,94640,261,0.0261,D,Delegated by officer,Granted,,24/09/2009,,,MAJ,04/08/2009,,,,,Granted,Delegated by officer,Other,Other County Matter,New Milton,,,Wills Gee Ltd
14078,09/01484/CMA,FUL,,CC,Heatherside County Junior & Infant School Reading Road South FLEET Hampshire GU52 7TH,Installation of 2 no. external canopies,23/06/2009,19/06/2009,14/08/2009,11/08/2009,480975,153575,132,0.0132,D,Delegated by officer,Granted,,13/08/2009,,,,24/07/2009,,,,,Granted,Delegated by officer,,,Church Crookham and Ewshot,,,Property Business & Regulatory Services
14082,BDB/71071,FUL,,CMW,Southley Composting Site Southley Farm Overton Basingstoke Hampshire RG25 3DR,Extension to area of existing windrow composting operation and erection of starscreener,30/06/2009,16/07/2009,10/09/2009,15/12/2009,452116,147465,39840,3.984,D,Delegated by officer,Granted,,15/12/2009,,,MAJ,20/08/2009,,,,,Granted,Delegated by officer,Extension to area of existing site,Composting,Candovers,,,Laverstoke Park Produce
14083,09/01292/HCC3N,FUL,,CMW,The A303 Recycling Facility Drayton Road Barton Stacey,Permanent facility for recycling construction and demolition waste and extension of existing site including construction of screening bund erection of recycling building and waste recycling plant importation of aggregates for re-sale including erection of storage bays,29/06/2009,29/06/2009,24/08/2009,07/10/2009,444201,142826,42248,4.2248,C,Committee,Granted,,09/10/2009,RCD,,MAJ,01/06/2010,,,,,Granted,Committee,Extension to area of existing site,Materials Recovery/Recycling (other than,Test Valley Central,,,Steven Bowley Planning Consultancy
14085,09/01331/HCC3N,FUL,,CC,Longparish School Longparish Andover SP11 6PB,Staffroom/toilet single storey extension,30/06/2009,03/07/2009,28/08/2009,21/09/2009,442673,143940,28,0.0028,D,Delegated by officer,Granted,,22/09/2009,,,MIN,10/08/2009,,,,,Granted,Delegated by officer,,,Test Valley Central,,,Property Business & Regulatory Services
14089,S/09/65443,VAR,,CMW,Fair Oak Landfill Mortimer Lane East Horton Eastleigh,Proposed extension of time for a further period of two years as a variation of condition 1 of Planning Permission S/06/58145,30/06/2009,30/06/2009,25/08/2009,07/10/2009,450519,118255,129810,12.981,C,Committee,Granted,,15/04/2010,RCD,,MAJ,31/07/2009,,,,,Granted,Committee,Variation of condition(s),Landfill,Bishopstoke and Fair Oak,,,Alliance Planning
14090,09/01340/CMAS,FUL,,CMW,Council Houses Green Pond Lane Ampfield ROMSEY SO51 9BS,Refurbishment of existing wastewater treatment plant and provision of generator system,02/07/2009,03/07/2009,28/08/2009,02/10/2009,440421,123256,227,0.0227,D,Delegated by officer,Granted,,02/10/2009,,,MAJ,25/03/2010,,,,,Granted,Delegated by officer,Other,Other Waste,Baddesley,,,Patterson Reeves & Partners
14091,09/01592/CMA,FUL,,CMW,Eversley Quarry Fox Lane Eversley Hampshire,Proposed blending of organic products and minerals to create high quality topsoils,02/07/2009,07/07/2009,01/09/2009,11/11/2009,480368,161972,3517,0.3517,C,Committee,Granted,,13/11/2009,,,MAJ,03/02/2010,,,,,Granted,Committee,Other,Composting,Hartley Wintney Eversley and Yateley West,,,PT-CE Ltd
14093,P/09/0603/CC,FUL,,CC,Neville Lovett Community School St Annes Grove FAREHAM Hampshire PO14 1JJ,The proposed works include an extension to an existing car park which also incorporates the relocation of an existing bin compound and garage.,08/07/2009,08/07/2009,02/09/2009,27/08/2009,456745,105509,371,0.0371,D,Delegated by officer,Granted,,28/08/2009,,,MIN,10/08/2009,,,,,Granted,Delegated by officer,,,Fareham Town,,,Property Services
14104,S/09/65549,FUL,,CC,Crescent Primary School Toynbee Road Eastleigh SO50 9DH,Continued siting of one single and two double temporary modular buildings on site,13/07/2009,13/07/2009,07/09/2009,22/09/2009,445126,119193,274,0.0274,D,Delegated by officer,Granted,,22/09/2009,,,MIN,12/08/2009,,,,,Granted,Delegated by officer,,,Eastleigh West,,,Property Business & Regulatory Property Services
14105,30364/018,FUL,,CC,Petersfield County Infant School St Peters Road PETERSFIELD Hampshire GU32 3HX,Continued siting for single temporary modular building on site,13/07/2009,13/07/2009,07/09/2009,06/10/2009,474715,123112,65,0.0065,D,Delegated by officer,Granted,,07/10/2009,,,MIN,12/08/2009,,,,,Granted,Delegated by officer,,,Petersfield Butser,,,Property Business & Regulatory Property Services
14106,S/09/65548,FUL,,CC,Hiltingbury County Junior School Hiltingbury Road Chandler's Ford EASTLEIGH SO53 5NP,Continued siting for double temporary modular building on site for a further four years.,13/07/2009,13/07/2009,07/09/2009,06/10/2009,443261,122099,130,0.013,D,Delegated by officer,Granted,,07/10/2009,,,,12/08/2009,,,,,Granted,Delegated by officer,,,Chandlers Ford,,,Property Business & Regulatory Property Services
14107,BDB/71044,FUL,,CC,Dove House School Sutton Road Basingstoke RG21 5SU,Continued siting for one single and one double temporary modular building,13/07/2009,17/07/2009,11/09/2009,23/09/2009,463813,153238,177,0.0177,D,Delegated by officer,Granted,,24/09/2009,,,MIN,17/08/2009,,,,,Granted,Delegated by officer,,,Basingstoke North,,,Property Business & Regulatory Property Services
14108,09/01415/HCC3S,FUL,,CC,Rownhams St Johns C of E Primary School Bakers Drove Rownhams SOUTHAMPTON SO16 8AD,Continued siting of one single temporary modular building on site,13/07/2009,13/07/2009,07/09/2009,06/10/2009,438343,116515,49,0.0049,D,Delegated by officer,Granted,,07/10/2009,,,MIN,12/08/2009,,,,,Granted,Delegated by officer,,,Romsey Extra,,,Property Business & Regulatory Property Services
14109,BDB/71018,FUL,,CC,Kings Furlong Infant School & Nursery Upper Chestnut Drive BASINGSTOKE Hampshire RG21 8YJ,Continued siting for single temporary modular building on site,13/07/2009,13/07/2009,07/09/2009,06/10/2009,462741,151394,68,0.0068,D,Delegated by officer,Granted,,07/10/2009,,,MIN,12/08/2009,,,,,Granted,Delegated by officer,,,Basingstoke Central,,,Property Business & Regulatory Property Services
14110,S/09/65540,FUL,,CC,Netley Abbey Infant & Junior School Westwood Road Netley Abbey SOUTHAMPTON SO31 5EL,Continued siting of two single temporary modular buildings on site,13/07/2009,17/07/2009,11/09/2009,24/09/2009,445921,109163,42,0.0042,D,Delegated by officer,Granted,,25/09/2009,,,MIN,17/08/2009,,,,,Granted,Delegated by officer,,,Hamble,,,Property Business & Regulatory Property Services
14111,K6419/17,FUL,,CC,Brune Park Community College Military Road Gosport PO12 3BU,Continued siting for a double temporary modular building on site for a further period of time,13/07/2009,13/07/2009,07/09/2009,27/08/2009,459388,101533,87,0.0087,D,Delegated by officer,Granted,,28/08/2009,,,MIN,12/08/2009,,,,,Granted,Delegated by officer,,,Leesland and Town,,,Property Business & Regulatory Property Services
14118,09/01440/HCC3N,FUL,,CC,Wallop Cp School School Lane Nether Wallop STOCKBRIDGE SO20 8EH,Continued siting for double temporary modular building on site,15/07/2009,14/07/2009,08/09/2009,03/09/2009,429565,137638,132,0.0132,D,Delegated by officer,Granted,,04/09/2009,,,MIN,13/08/2009,,,,,Granted,Delegated by officer,,,Test Valley Central,,,Property Business & Regulatory Property Services
14119,BDB/71017,FUL,,CC,Tadley Community Primary School The Green Tadley Hampshire RG26 3PB,Continued siting for single/double temporary modular building on site,15/07/2009,14/07/2009,08/09/2009,22/09/2009,460452,160902,65,0.0065,D,Delegated by officer,Granted,,24/09/2009,,,MIN,13/08/2009,,,,,Granted,Delegated by officer,,,Tadley and Baughurst,,,Property Business & Regulatory Property Services
14121,09/94393,FUL,,CC,Forest Education Centre Cabot Drive Dibden Purlieu Southampton Hampshire SO45 5UG,Continued siting of double temporary modular building on site,15/07/2009,17/07/2009,11/09/2009,07/09/2009,440419,107244,221,0.0221,D,Delegated by officer,Granted,,08/09/2009,,,MIN,17/08/2009,,,,,Granted,Delegated by officer,,,Dibden and Hythe,,,Property Business & Regulatory Property Services
14122,09/01695/HCCRG3,FUL,,CC,Westfield County Junior School School Lane YATELEY Hampshire GU46 6NN,Continued siting for double temporary modular building on site,15/07/2009,14/07/2009,08/09/2009,21/08/2009,480884,160445,139,0.0139,D,Delegated by officer,Granted,,25/08/2009,,,MIN,13/08/2009,,,,,Granted,Delegated by officer,,,Hartley Wintney Eversley and Yateley West,,,Property Business & Regulatory Property Services
14123,P/09/0617/CC,FUL,,CC,Lord Wilson School Coldeast Way  Sarisbury Green near Fareham SO31 ZD,Continued siting for single temporary modular building on site,15/07/2009,14/07/2009,08/09/2009,23/09/2009,450768,108027,53,0.0053,D,Delegated by officer,Granted,,24/09/2009,,,MIN,13/08/2009,,,,,Granted,Delegated by officer,,,Fareham Sarisbury,,,Property Business & Regulatory Property Services
14124,09/01714/CMA,FUL,,CC,Yateley School School Lane YATELEY Hampshire GU46 6NW,Continued siting for double temporary modular building on site,15/07/2009,17/07/2009,11/09/2009,26/08/2009,481213,160558,221,0.0221,D,Delegated by officer,Granted,,27/08/2009,,,MIN,17/08/2009,,,,,Granted,Delegated by officer,,,Hartley Wintney Eversley and Yateley West,,,Property Business & Regulatory Property Services
