record_number,application_number,application_type,uprn,category,location,proposal,received_date,received_complete_date,expiry_date,committee_date,gridref_east,gridref_north,site_area,site_area_hec,delegated_committee,Expr1016,Expr1017,old,notice_date,status_code,dbo_pla_planning_appeal_number,pla_stats_majmin,consults_expiry_date,pla_enviro_stat_req,pla_corr_total_object,pla_corr_total_no_object,pla_corr_total_comment,dbo_lookup_decision_codes_decision_description,dec_maker_desc,dbo_lookup_stats_site_details_description,dbo_lookup_stats_type_description,ward_description,dbo_apl_appeal_appeal_number,dbo_lookup_apl_decisions_decision_description,name
14908,BDB/75735,FUL,,CC,Broadoaks Pack Lane Basingstoke Hampshire RG22 5HE,The proposals are to increase the physical space available for cars to park and manoeuvre within the site there is no change of use proposed,23/12/2011,12/01/2012,08/03/2012,29/02/2012,461546,150370,400,0.04,D,Delegated by officer,Granted,,01/03/2012,,,MIN,10/02/2012,,,,,Granted,Delegated by officer,,,Basingstoke South West,,,Property Services
14913,K1713/3,FUL,,CC,Woodcot Primary School Tukes Avenue Gosport Hampshire PO13 0SG,A new build single storey Education Centre,06/01/2012,06/01/2012,02/03/2012,21/03/2012,457756,103762,2.07,2.07,C,Committee,Granted,,27/03/2012,,,MAJ,08/02/2012,,,,,Granted,Committee,,,Bridgemary,,,Property Services
14914,12/00046/HCC,FUL,,CC,Cove School St Johns Road Farnborough Hampshire GU14 9RN,The proposal is to create a small lecture theatre and a covered/enclosed entrance to the adjacent Science block,06/01/2012,19/01/2012,15/03/2012,02/03/2012,485180,156366,104,0.0104,D,Delegated by officer,Granted,,05/03/2012,,,MIN,17/02/2012,,,,,Granted,Delegated by officer,,,Farnborough West,,,Property Services Hampshire CC
14915,12/00091/CMAS,FUL,,CMM,Michelmersh Brick & Tile Company Hill View Road Michelmersh Hampshire,Proposed change of use of Old Quarry for uses ancillary to Michelmersh Brickworks,06/01/2012,06/01/2012,02/03/2012,13/07/2012,434364,125998,38239,3.8239,D,Delegated by officer,Granted,,19/07/2012,RCD,,MAJ,08/02/2012,,,,,Granted,Delegated by officer,On site manufacturing or ancillary operations/uses,Other Minerals,Test Valley Central,,,Stephen Bowley Planning Consultancy
14916,20661/048,FUL,,CMW,Selborne Brickworks Honey Lane Selborne Alton GU34 3BS,Construction of an anaerobic digester to convert food waste into bio methane to supply the gas requirements of the existing brickworks and the extension of an existing haul road by upgrading an existing farm track in order to provide HGV access to the digester,06/01/2012,19/01/2012,15/03/2012,23/05/2012,476819,134262,6265,0.6265,C,Committee,Granted,,11/07/2012,RCD,,MAJ,12/06/2015,,,,,Granted,Committee,Other,Anaerobic Digestion,Alton Rural,,,Mr Patrick Benham-Crosswell
14930,BDB/75765,FUL,,CC,Richard Aldworth Community School Western Way Basingstoke Hampshire RG22 6HA,Re-cladding and over cladding of the external elevations of the school (SCOLA 3) including associated and enabling works,13/01/2012,13/01/2012,09/03/2012,08/03/2012,461732,150869,5.85,5.85,D,Delegated by officer,Granted,,08/03/2012,,,MIN,16/02/2012,,,,,Granted,Delegated by officer,,,Basingstoke Central,,,Property Services
14931,APP/12/00069,FUL,,CC,Rachel Madocks School Eagle Avenue Waterlooville Hampshire PO8 9XP,Extensions and external reclad to existing school,16/01/2012,18/01/2012,14/03/2012,26/03/2012,467968,111580,1818.41,0.1818,D,Delegated by officer,Granted,,27/03/2012,,,,16/02/2012,,,,,Granted,Delegated by officer,,,Cowplain and Hartplain,,,Property Services
14932,NMA/2012/0022,NMA,,CC,South East Hampshire Bus Rapid Transit Phase1A Gosport to Fareman,Non Material Amendment - Changes to the Wych Lane junction and removal of one retaining wall and construction of two other retaining walls,17/01/2012,17/01/2012,14/02/2012,,,,,,D,Delegated by officer,Granted,,21/03/2012,RCD,,min,22/02/2012,,,,,Granted,Delegated by officer,,,,,,Engineering Consultancy
14933,12/00169/HCC3S,FUL,,CC,Jermyns House Jermyns Lane Ampfield Romsey SO51 0QA,Partial conversion of an existing outbuilding (referred to locally as Roberts Bungalow) to provide shared accommodation (category C4 houses in multiple occupation),19/01/2012,19/01/2012,15/03/2012,12/11/2012,438051,123757,72.8,72.8,D,Delegated by officer,Granted,,13/11/2012,,,MIN,21/02/2012,,,,,Granted,Delegated by officer,,,Romsey Extra,,,Property Services
14955,12/98271,FUL,,CC,Hazel Wood Infant School Hazel Farm Road Totton Southampton SO40 8WU,The erection of a 6m flagpole,30/01/2012,30/01/2012,26/03/2012,02/04/2012,434233,113233,8000,0.8,D,Delegated by officer,Granted,,04/04/2012,,,,01/03/2012,,,,,Granted,Delegated by officer,,,Totton North,,,Property Services
14965,12/00419/CMAS,FUL,,CMW,Ridge Quarry Landfill Site Ridge Lane Ridge Nr Romsey Hampshire,Upgrade comprising the erection of Bio-filter and associated ancillary workings,09/02/2012,13/02/2012,09/04/2012,02/04/2012,433916,118371,0.2,0.2,D,Delegated by officer,Granted,,04/04/2012,,,MAJ,13/03/2012,,,,,Granted,Delegated by officer,On site manufacturing or ancillary operations/uses,Landfill,Romsey Extra,,,URS
14966,APP/12/00177,FUL,,CC,Park Community School Middle Park Way Havant Hampshire PO9 4BU,This application for planning permission is to provide replacement buildings and to refurbish existing accommodation,09/02/2012,09/02/2012,05/04/2012,25/04/2012,470381,108287,6.01,6.01,C,Committee,Granted,,30/04/2012,,,MAJ,24/07/2012,,,,,Granted,Committee,,,Bedhampton and Leigh Park,,,HCC Property Services
14982,BDB/75937,FUL,,CC,Overton C Of E Primary School Court Drove Overton Basingstoke RG25 3ES,Single storey standalone modular building with low pitched roof,20/02/2012,20/02/2012,16/04/2012,23/04/2012,451092,150119,4.8,4.8,D,Delegated by officer,Granted,,23/04/2012,,,MAJ,20/03/2012,,,,,Granted,Delegated by officer,,,Candovers,,,Hampshire County Council - Property Services
14986,21596/016,FUL,,CC,Horndean Technology College Barton Cross Waterlooville Hampshire PO8 9PQ,Erection of 2.2m galvanised steel fencing to areas highlighted in plan,22/02/2012,22/02/2012,18/04/2012,19/04/2012,469846,113110,15954,1.5954,D,Delegated by officer,Granted,,19/04/2012,,,,23/03/2012,,,,,Granted,Delegated by officer,,,Catherington,,,Property Services
14991,12/00590/HCC3S,FUL,,CC,Cupernham County Junior & Infants School Bransley Close Romsey Hampshire SO51 7JT,Proposed extension and refurbishment of Cupernham Infant and Junior schools with associated works to landscaping car parks and entrances.,27/02/2012,27/02/2012,23/04/2012,20/06/2012,436650,122219,9340,0.934,D,Committee,Granted,,22/06/2012,,,,06/04/2012,,,,,Granted,Committee,,,Romsey Town,,,Property Services
14992,12/98401,VAR,,CMW,Newbourne Farm Rockbourne Fordingbridge SP6 3NT,Variation to composting site and variation of condition 5 of planning permission 10/96302 to increase permitted tonnage of compositing material from 8000 to 15000 tones per annum at Newbourne Farm Rockbourne Fordingbridge SP6 3NT,28/02/2012,01/03/2012,26/04/2012,19/06/2012,410842,118589,4362,0.4362,D,Delegated by officer,Granted,,20/06/2012,,,MAJ,05/04/2012,,,,,Granted,Delegated by officer,Variation of condition(s),Composting,Fordingbridge,,,Jerry Davies
14993,33089/032,FUL,,CMW,Hutchings & Carter Yard Former Sewage Works Waterbrook Road Alton Hampshire GU34 2UD,Change of use (with associated building modifications) from existing builders storage depot to a waste recycling facility to accept and process commercial and industrial waste (including the use of a waste picking station and trommel) on industrial land at the former sewage works off Waterbrook Road Alton.,28/02/2012,08/03/2012,03/05/2012,15/10/2012,472900,139584,0.45,0.45,D,Delegated by officer,Granted,,23/01/2013,,,MAJ,11/04/2012,,,,,Granted,Delegated by officer,Extension to area of existing site,Recycling Plans for Secondary Aggregates,Alton Town,,,Enzygo Ltd
14995,12/98419,FUL,,CMW,Blue Haze Landfill Site Verwood Road Somerley Ringwood Hampshire BH24 3QE,The Installation of a Leachate Treatment Facility with Associated Plant and Machinery,29/02/2012,29/02/2012,25/04/2012,25/04/2012,411557,107787,0.13,0.13,D,Delegated by officer,Granted,,26/04/2012,,,MAJ,11/04/2012,,,,,Granted,Delegated by officer,Other,Treatment,Fordingbridge,,,Veolia E S Landfill Limited
